,ABB,AIRBUS,APPLE,BASF,BAYER,BMW,BOSCH,CANON,ERICSSON,GENERAL ELECTRIC,GOOGLE,HITACHI,HONDA,HONEYWELL,HUAWEI,IBM,INFINEON,INTEL,LG ELECTRONICS,MICROSOFT,NOKIA,NOVARTIS,PANASONIC,PHILIPS,QUALCOMM,ROCHE,SAMSUNG,SAP,SCHNEIDER ELECTRIC,SIEMENS,SONY,TOSHIBA,TOYOTA,VOLKSWAGEN
GOOGLE,0.47995820946713263,0.40289070575225605,0.6281442159068301,0.36258978538611714,0.2676106026120084,0.4001148213693989,0.44298285214647914,0.4329444191512562,0.53003419711806,0.4560230994619008,1.0000000000000004,0.46600253404603864,0.422872951354503,0.5676002366260015,0.3809956587048145,0.5798640766563886,0.44927334685532805,0.5376477075803866,0.4256721556781056,0.6731440301134752,0.5055522999797846,0.1407380579141634,0.41763996102788903,0.5293704527313872,0.5531870021590558,0.4647415233010468,0.5110523000772876,0.5308664617609843,0.514878613219239,0.466198016259992,0.5525180068979958,0.42911627927994245,0.44931752338081793,0.36435436581808983
HITACHI,0.532993240900817,0.4739590191067297,0.44029207317111807,0.321718712364127,0.22365813298968404,0.5230008883047371,0.5232490229213917,0.5972359587972386,0.3932792531351574,0.46852830297236236,0.46600253404603864,1.0000000000000004,0.6962671502559153,0.4819970503826387,0.5073162868334841,0.4750392969593426,0.46745551251246453,0.40459717708971316,0.5279061891858733,0.4812868669486982,0.3921644230739357,0.14453943115297677,0.6869387660528512,0.4638501985769838,0.33132813651012427,0.38169198779540037,0.5327553599415525,0.39093677930168697,0.5469033258785637,0.5496989061306049,0.6382782554787888,0.7236322761375193,0.7425673838777177,0.5108281038821714
HONDA,0.48723083305875187,0.446422567726793,0.4046038304188289,0.3147337448676193,0.1760660040136625,0.6007613222785726,0.5393050906670878,0.5731428840863512,0.36063604359314794,0.4348487042682379,0.422872951354503,0.6962671502559153,1.0,0.44950332578914043,0.5340394112207224,0.4427663480327091,0.4296236377635799,0.3556733509492724,0.492354256437935,0.4255322072230878,0.32736795189725026,0.16309807797999312,0.6362420949874382,0.40859091486512894,0.2900425403991652,0.3263977660466476,0.5361471116219912,0.32067014071591793,0.5024090282380945,0.5586166452297247,0.6143517686516963,0.6436363360526843,0.7915737387942113,0.5795672717807155
HONEYWELL,0.5365603120831252,0.4680621499374412,0.5540737984586868,0.3860637286517981,0.2665815617327359,0.478310083444471,0.49803264753078413,0.39387811549988766,0.4816683079608176,0.5178937179565302,0.5676002366260015,0.4819970503826387,0.44950332578914043,1.0000000000000002,0.3956447367089165,0.5876302791199178,0.5105181470216895,0.5245864246449886,0.4116831836209679,0.6181677161227653,0.470309725840592,0.19661669086136294,0.4179946740802611,0.5269957293955347,0.44554695370723635,0.47566314838770324,0.4981772793790963,0.5201235391403299,0.5844901739586643,0.5094205403431366,0.5032153469096191,0.44904454341617084,0.47708400914233834,0.4387308609600366
HUAWEI,0.48033546064856847,0.4288266647505587,0.37158319599146317,0.30631291487730355,0.16134999709182096,0.576891388185816,0.4614422279226396,0.4163467564661667,0.4043007812736971,0.41581101592373426,0.3809956587048145,0.5073162868334841,0.5340394112207224,0.3956447367089165,1.0000000000000002,0.37478211803101547,0.39117385385644843,0.3641668283402286,0.47672089586364147,0.39230570404019394,0.37275660883631706,0.13403655775019055,0.44228043051112104,0.4051958003626771,0.298401890159716,0.2929957165995607,0.5052387106958368,0.2825157673462034,0.503315364031245,0.5658574282578772,0.5027141195660129,0.4699159141488285,0.47525538794718414,0.5365217765451693
IBM,0.4841986280796106,0.403565917107954,0.5312249235741943,0.4101666461207625,0.3490628658679019,0.43365420979339525,0.4902057126908296,0.398649432284975,0.5227654724137003,0.44342617363129344,0.5798640766563886,0.4750392969593426,0.4427663480327091,0.5876302791199178,0.37478211803101547,0.9999999999999999,0.4122104598882914,0.48008054125929783,0.39728796988450427,0.6130038508323989,0.4799187525108097,0.13743263642467288,0.40994957856352027,0.49531114717683083,0.41050646071676233,0.5109304683761116,0.48571076965890975,0.5432680744169969,0.5133878280226923,0.5029105839680397,0.5049812174431443,0.4527768704851332,0.46392312947950876,0.43045070313223777
INFINEON,0.488561396348001,0.43774635814186835,0.49727188375764325,0.31584517555029584,0.15203582229196283,0.4461627378110843,0.483891682142088,0.4178814433098926,0.39880384428704135,0.4468363882354212,0.44927334685532805,0.46745551251246453,0.4296236377635799,0.5105181470216895,0.39117385385644843,0.4122104598882914,0.9999999999999996,0.46945597299195413,0.41472922082416347,0.4663186307337446,0.3862915301727303,0.16300911632588674,0.4560349736398361,0.45867203156971414,0.39337362018540895,0.33913720819758586,0.5329138047851321,0.32673816314976395,0.539423966947471,0.47201717298032025,0.5028026960683002,0.5001259712441117,0.4648630098596499,0.42730140710933345
INTEL,0.40363467278133935,0.3513643683334092,0.5348465557950891,0.29113460282172793,0.25552186003687605,0.3557236939410717,0.38829324438483026,0.4172139767309365,0.5085082462332308,0.41662173625388815,0.5376477075803866,0.40459717708971316,0.3556733509492724,0.5245864246449886,0.3641668283402286,0.48008054125929783,0.46945597299195413,1.0000000000000004,0.400785025751219,0.5873247915386076,0.5566945884915441,0.10782044033241439,0.38178890793680265,0.49252013135129946,0.4907932085778617,0.38348119136298353,0.4562465308244429,0.4724053688376281,0.4745197514214242,0.4002122726099613,0.4760695260683513,0.407263516464448,0.3982335103538224,0.3232714508851138
LG ELECTRONICS,0.44100313824765586,0.4177590603065832,0.4846763653582566,0.28804405553305773,0.166215546611749,0.48038431460173564,0.4551795945599297,0.4471977216618248,0.4220513721122683,0.3863988263443893,0.4256721556781056,0.5279061891858733,0.492354256437935,0.4116831836209679,0.47672089586364147,0.39728796988450427,0.41472922082416347,0.400785025751219,0.9999999999999994,0.3980604787069186,0.4370590528872901,0.1560968355303448,0.4954834871066806,0.46526971464667904,0.404910671798174,0.3047288138723307,0.651340018001587,0.2737869344270323,0.45818970130382164,0.48032539559240717,0.567682534625537,0.52723426873201,0.503064911574277,0.4241625942760617
MICROSOFT,0.5037831903962662,0.43320794114955125,0.5766933488575106,0.3433074608813341,0.28506549419616317,0.40354174183375224,0.4756537591992521,0.4121675866931888,0.5525888062374082,0.5046160265266235,0.6731440301134752,0.4812868669486982,0.4255322072230878,0.6181677161227653,0.39230570404019394,0.6130038508323989,0.4663186307337446,0.5873247915386076,0.3980604787069186,0.9999999999999997,0.5248066578969743,0.16745815363870648,0.4031100716119241,0.5285796845563429,0.4948409459778873,0.47507621455102517,0.47932367482300264,0.5866678835201269,0.5472553061536151,0.4860163137512936,0.53704259733105,0.4409585737683336,0.45418119784725225,0.3789455541315225
